Date,Product ID,Model,Serial Number,Quantity,Entity,Ref No.,Person,Remark
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404940,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402661,,Simat,,Wuttikorn,SolarWing
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F51AE,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0218D2E,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A02190B4,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0219060,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0219023,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0219030,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0219041,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0219034,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0218EF3,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0145BA1,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F50E9,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F51CB,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F5132,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F5153,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F5249,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F50E3,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F505B,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F5166,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F5186,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0145CA6,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A0145CCA,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F50E5,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F50C6,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F51CD,,Simat,,Wuttikorn,
